SSN,Employee Name,Date of Birth,Hire Date,Compensation,Hours Worked,Eligibility,Employee Contribution,Employer Contribution
111222555,Chad Bryant,8/7/1991,12/17/2017,57012.99,1388,Yes,797.24,587.09
444555888,Jennifer Johnson,2/6/1997,4/15/2015,67474.42,1935,Yes,3244.82,2267.3
777888111,Clifford Ramirez,7/31/1996,2/28/2019,111911.55,1283,Yes,3764.92,3335.64
123456012,Paul Diaz,9/8/1985,1/16/2015,57776.55,1890,No,1294.86,1111.44
987654222,Mark Larson,2/12/1969,3/20/2019,109704.46,2069,No,1768.73,1051.82
111222333,Robert Greene,6/2/1967,6/10/2018,31363.08,2036,Yes,1387.84,881.36
444555444,Julia Reyes,2/5/1981,8/10/2019,38671.35,1386,No,1041.35,631.17
777888556,Michael Hill,10/30/1977,7/19/2020,81340.14,1245,Yes,3907.06,3040.38
123456667,Bethany Sullivan,1/2/1990,4/25/2020,100351.56,1686,No,3725.84,3459.15
987654889,Erica Anderson,9/25/1969,6/30/2019,78399.01,1629,Yes,1956.63,1536.61
111222888,Nicholas Goodman,1/12/1989,8/4/2016,112828.28,1735,No,1934.12,1069.44
444555999,Mary Walker,11/4/1979,10/6/2023,72839.44,1632,Yes,966.65,571.91
987654390,Erik Henderson,6/4/1961,11/17/2019,101057.74,1219,No,4154.31,3257.5
111222444,James Hanna,12/9/1958,4/28/2024,78850.11,1322,No,2666.08,1941.58
444555777,Mitchell Velazquez,8/2/1979,12/27/2023,99856.74,1598,No,1260.51,867.58
777888000,Victoria Snyder,3/13/1972,9/19/2019,59490.7,1457,No,1800.85,924.8
123456991,Kevin Roberts,7/30/2002,10/24/2022,91472.5,1660,No,3101.69,2109.67
987654601,Brandy Werner DDS,12/2/1968,10/13/2020,106877.75,1084,No,3302.09,2417.35
123456789,Gina Jimenez,6/8/1984,11/5/2022,93927.36,1193,Yes,3361.13,2110.39
987654321,Robert Jackson,12/6/1960,3/13/2017,49909.43,1169,Yes,2404.79,1327.76
