SSN,Employee Name,Age,Job Title,Compensation,Hours Worked,Eligibility
111222333,Robert Greene,42,Employee,31363.08,2036,Yes
111222444,James Hanna,29,Supervisor,78850.11,1322,No
111222555,Chad Bryant,44,Manager,57012.99,1388,Yes
111222888,Nicholas Goodman,41,Supervisor,112828.28,1735,No
123456012,Paul Diaz,43,Manager,57776.55,1890,No
123456667,Bethany Sullivan,30,Employee,100351.56,1686,No
123456780,Emily Chen,32,Employee,,,
123456789,Gina Jimenez,45,Manager,93927.36,1193,Yes
123456991,Kevin Roberts,35,Supervisor,91472.5,1660,No
444555444,Julia Reyes,33,Manager,38671.35,1386,No
444555666,Alice Brown,35,Manager,,,
444555777,Mitchell Velazquez,48,Employee,99856.74,1598,No
444555888,Jennifer Johnson,36,Supervisor,67474.42,1935,Yes
444555999,Mary Walker,34,Employee,72839.44,1632,Yes
777888000,Victoria Snyder,40,Manager,59490.7,1457,No
777888111,Clifford Ramirez,31,Employee,111911.55,1283,Yes
777888556,Michael Hill,45,Supervisor,81340.14,1245,Yes
777888999,Mike Davis,49,Supervisor,,,
987654222,Mark Larson,28,Supervisor,109704.46,2069,No
987654321,Robert Jackson,38,Supervisor,49909.43,1169,Yes
987654390,Erik Henderson,41,Manager,101057.74,1219,No
987654601,Brandy Werner DDS,39,Employee,106877.75,1084,No
987654889,Erica Anderson,38,Manager,78399.01,1629,Yes
